Space,StartDate,Activity,Duration,Tags
Work-Space,2023-02-02,Unit42-Case Work,03:26:33,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-02,Coding,01:43:53,"#100DaysofCode
#Python"
Off-Work Space,2023-02-02,Gaming,01:51:07,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-03,Unit42-Case Work,07:00:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-03,Coding,00:50:12,"#100DaysofCode
#Python"
Off-Work Space,2023-02-03,Gaming,01:00:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-04,Mimir Cyber,02:09:43,"#.com
#Book Review
#Ghost"
Off-Work Space,2023-02-04,Mimir Cyber,00:57:55,"#GCPN
#Practice Test
#SANS"
Off-Work Space,2023-02-04,Coding,01:01:16,"#100DaysofCode
#Python"
Off-Work Space,2023-02-05,Gaming,01:50:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-05,Coding,00:37:12,
Off-Work Space,2023-02-05,Gaming,01:36:17,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-06,Gaming,00:52:28,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-06,Unit42-Case Work,01:48:45,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-06,Mimir Cyber,01:50:00,"#Crowdstrike
#Interview
#Triage"
Work-Space,2023-02-06,Unit42-Case Work,03:30:37,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-06,Coding,00:56:51,"#100DaysofCode
#Python"
Off-Work Space,2023-02-06,Coding,00:12:53,"#100DaysofCode
#Python"
Off-Work Space,2023-02-06,Gaming,00:20:37,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-07,Gaming,01:29:24,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-07,Unit42-Case Work,06:10:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-07,Coding,01:01:28,"#100DaysofCode
#Python"
Off-Work Space,2023-02-07,Gaming,00:32:32,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-07,Gaming,01:40:06,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-08,Mimir Cyber,01:40:00,"#Interview
#Sygnia
#TableTop"
Work-Space,2023-02-08,Unit42-Case Work,03:20:00,"#Code-review
#Internal Meeting
#Meta
#QC"
Off-Work Space,2023-02-08,Mimir Cyber,03:00:00,"#Docker
#Ghost
#Linux"
Off-Work Space,2023-02-08,Teaching / Cirriculum Development,01:00:08,"#Ghost
#Movie Review"
Off-Work Space,2023-02-08,Coding,00:17:25,"#100DaysofCode
#Python"
Off-Work Space,2023-02-08,Gaming,00:36:02,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-08,Gaming,00:35:27,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-09,Coding,01:16:01,"#100DaysofCode
#Python"
Work-Space,2023-02-09,Unit42-Case Work,04:50:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-09,Coding,01:11:38,"#100DaysofCode
#Python"
Off-Work Space,2023-02-09,Gaming,00:54:34,"#Hogwarts Legacy
#RPG"
Work-Space,2023-02-10,Unit42-Case Work,01:20:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-10,Teaching / Cirriculum Development,01:40:00,"#Ghost
#Movie Review"
Work-Space,2023-02-10,Unit42-Case Work,02:20:39,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-10,Coding,00:56:00,"#100DaysofCode
#Python"
Off-Work Space,2023-02-10,Homelab Engineering and Documentation,00:16:13,"#Ghost
#Obsidian"
Off-Work Space,2023-02-10,Coding,00:29:45,"#100DaysofCode
#Python"
Off-Work Space,2023-02-10,Gaming,01:30:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-11,Gaming,00:54:21,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-11,Gaming,00:22:55,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-11,Gaming,01:37:31,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-11,Gaming,01:21:19,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-12,Coding,00:26:09,"#100DaysofCode
#Python"
Off-Work Space,2023-02-12,Gaming,01:05:25,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-12,Gaming,01:51:16,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-13,Studying,02:16:23,"#GCPN
#Index
#SANS"
Off-Work Space,2023-02-13,Coding,01:08:39,"#100DaysofCode
#Python"
Off-Work Space,2023-02-13,Gaming,00:33:05,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-13,Mimir Cyber,01:08:21,"#1:1
#Mentorship"
Off-Work Space,2023-02-13,Gaming,02:12:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-14,Gaming,02:15:33,
Off-Work Space,2023-02-14,Studying,01:04:03,"#GCPN
#Index
#SANS"
Work-Space,2023-02-14,Unit42-Case Work,03:52:54,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-14,Coding,00:16:56,"#100DaysofCode
#Python"
Off-Work Space,2023-02-14,Gaming,00:55:49,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-15,Gaming,01:21:50,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-15,Studying,01:57:26,"#GCPN
#Index
#SANS"
Work-Space,2023-02-15,Unit42-Case Work,02:33:24,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-15,Coding,01:01:04,"#100DaysofCode
#Python"
Off-Work Space,2023-02-15,Gaming,01:29:13,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-02-16,Studying,00:45:38,"#GCPN
#Index
#SANS"
Off-Work Space,2023-02-16,Homelab Engineering and Documentation,00:40:00,#Ghost
Off-Work Space,2023-02-16,Studying,00:54:43,"#GCPN
#Index
#SANS"
Work-Space,2023-02-16,Unit42-Case Work,02:22:37,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-16,Coding,01:18:21,"#100DaysofCode
#Python"
Off-Work Space,2023-02-16,Gaming,00:29:02,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-16,Gaming,01:03:09,
Off-Work Space,2023-02-17,Gaming,01:45:49,"#Hogwarts Legacy
#RPG"
Work-Space,2023-02-17,Unit42-Case Work,05:10:00,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-17,Coding,00:36:59,"#100DaysofCode
#Python"
Off-Work Space,2023-02-17,Gaming,02:14:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-18,Coding,00:41:21,"#100DaysofCode
#Python"
Off-Work Space,2023-02-18,Gaming,01:00:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-18,Gaming,01:20:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-18,Gaming,01:50:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-19,Coding,00:29:20,"#100DaysofCode
#Python"
Off-Work Space,2023-02-20,Coding,00:37:56,"#100DaysofCode
#Python"
Off-Work Space,2023-02-20,Gaming,02:00:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-20,Gaming,01:50:00,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-21,Gaming,01:31:23,"#Hogwarts Legacy
#RPG"
Work-Space,2023-02-21,Unit42-Case Work,07:17:36,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-21,Coding,00:35:46,"#100DaysofCode
#Python"
Off-Work Space,2023-02-21,Gaming,01:07:38,"#Hogwarts Legacy
#RPG"
Off-Work Space,2023-02-22,Gaming,01:01:33,"#Hogwarts Legacy
#RPG"
Work-Space,2023-02-22,Unit42-Case Work,05:48:39,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-22,Coding,01:41:34,"#100DaysofCode
#Python"
Off-Work Space,2023-02-22,Gaming,00:40:29,
Off-Work Space,2023-02-23,Studying,02:40:00,"#GCPN
#Index
#SANS"
Work-Space,2023-02-23,Unit42-Case Work,04:20:56,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-23,Coding,00:44:28,"#100DaysofCode
#Python"
Off-Work Space,2023-02-23,Homelab Engineering and Documentation,01:41:58,"#Ghost
#Obsidian"
Off-Work Space,2023-02-24,Gaming,00:39:13,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-24,Unit42-Case Work,06:02:40,"#CASD
#Log analysis
#Meta
#QC"
Off-Work Space,2023-02-24,Coding,01:26:25,"#100DaysofCode
#Python"
Off-Work Space,2023-02-24,Gaming,00:54:46,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-25,Gaming,00:30:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-25,Gaming,00:20:55,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-02-25,Coding,00:48:27,"#100DaysofCode
#HTML"
Off-Work Space,2023-02-25,Gaming,00:56:23,"#Call of Duty
#FPS
#Multiplayer"
