Space,StartDate,Activity,Duration,Tags
Work-Space,2023-05-01,Unit42-Case Work,00:50:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-01,Coding,00:52:17,"#100DaysofCode
#Python"
Off-Work Space,2023-05-01,Gaming,00:32:06,
Off-Work Space,2023-05-01,Gaming,00:45:36,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-01,Gaming,00:38:26,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-02,Gaming,00:52:26,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-02,Gaming,00:20:30,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-02,Unit42-Case Work,03:03:46,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-02,Unit42-Administrative,00:23:20,"#Kick-off
#Scoping
#Training"
Work-Space,2023-05-02,Unit42-Case Work,01:00:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-02,Mimir Cyber,00:34:33,"#BLS
#Meeting"
Work-Space,2023-05-02,Unit42-Case Work,00:03:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-02,Unit42-Administrative,01:00:00,"#Internal Meeting
#Interview"
Off-Work Space,2023-05-02,Coding,00:23:18,"#100DaysofCode
#Python"
Off-Work Space,2023-05-02,Gaming,00:11:57,
Off-Work Space,2023-05-02,Gaming,00:37:05,
Off-Work Space,2023-05-02,Gaming,01:22:57,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-03,Gaming,00:54:15,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-03,Gaming,00:25:16,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-03,Unit42-Case Work,02:21:26,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-03,Unit42-Case Work,01:20:07,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-03,Coding,00:33:38,"#100DaysofCode
#Python"
Off-Work Space,2023-05-03,Gaming,00:26:49,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-03,Gaming,00:36:01,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-03,Gaming,02:03:17,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-04,Videos,00:18:00,#YouTube
Off-Work Space,2023-05-04,Gaming,00:33:20,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-04,Gaming,00:36:59,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-04,Unit42-Case Work,02:39:02,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-04,Unit42-Case Work,00:20:56,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-04,Unit42-Administrative,01:12:21,"#1-on-1
#Career Managment
#Case Management
#Internal Meeting
#Mentoring"
Work-Space,2023-05-04,Unit42-Case Work,01:09:20,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-04,Coding,01:27:00,"#100DaysofCode
#Python"
Off-Work Space,2023-05-04,Gaming,00:13:24,
Off-Work Space,2023-05-04,Gaming,00:45:29,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-04,Gaming,00:27:53,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-05,Videos,00:21:46,#YouTube
Off-Work Space,2023-05-05,Teaching / Cirriculum Development,00:09:00,#Book Review
Off-Work Space,2023-05-05,Gaming,00:16:27,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-05,Unit42-Administrative,00:22:32,"#Career Managment
#Mentoring"
Off-Work Space,2023-05-05,Teaching / Cirriculum Development,00:23:48,#Book Review
Off-Work Space,2023-05-05,Gaming,00:40:57,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-05,Gaming,00:20:51,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-05,Videos,00:09:49,#YouTube
Off-Work Space,2023-05-05,Gaming,01:09:57,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-05,Gaming,00:43:51,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-06,Gaming,01:04:01,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-06,Gaming,00:45:44,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-06,Gaming,01:29:51,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-06,Gaming,01:18:22,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-06,Gaming,01:32:38,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-22,Gaming,03:11:19,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-23,Videos,00:57:53,#YouTube
Off-Work Space,2023-05-23,Gaming,01:07:04,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-23,Videos,00:20:00,#YouTube
Off-Work Space,2023-05-23,Gaming,00:42:18,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-23,Videos,01:32:13,#YouTube
Off-Work Space,2023-05-23,Gaming,00:35:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-23,Gaming,02:06:16,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-24,Unit42-Case Work,02:36:31,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-24,Gaming,00:30:35,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-24,Gaming,02:59:31,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-25,Gaming,01:16:11,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-25,Gaming,00:22:58,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-25,Unit42-Case Work,01:39:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-25,Homelab Engineering and Documentation,00:18:00,"#Media Management
#Sonarr"
Work-Space,2023-05-25,Unit42-Case Work,01:59:42,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-25,Gaming,00:34:38,
Off-Work Space,2023-05-25,Gaming,01:27:37,
Off-Work Space,2023-05-25,Gaming,00:28:44,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-25,Gaming,00:59:16,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-25,Gaming,00:28:55,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-26,Unit42-Case Work,02:45:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-26,Unit42-Case Work,01:00:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-26,Gaming,00:29:57,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-26,Gaming,00:54:17,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-26,Gaming,00:31:36,
Off-Work Space,2023-05-26,Gaming,00:46:46,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-26,Gaming,00:17:48,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-27,Gaming,00:25:28,
Off-Work Space,2023-05-27,Gaming,00:58:56,
Off-Work Space,2023-05-27,Gaming,01:04:17,
Off-Work Space,2023-05-27,Gaming,01:33:26,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-27,Gaming,00:05:00,
Off-Work Space,2023-05-28,Gaming,00:34:50,
Off-Work Space,2023-05-28,Videos,00:15:00,#YouTube
Off-Work Space,2023-05-28,Gaming,01:10:43,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-28,Gaming,02:32:15,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-05-28,Gaming,00:46:55,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-29,Coding,00:47:12,"#100DaysofCode
#Python"
Off-Work Space,2023-05-29,Videos,00:08:55,#YouTube
Off-Work Space,2023-05-29,Gaming,00:14:31,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-29,Gaming,01:38:24,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-05-29,Videos,00:50:46,#YouTube
Off-Work Space,2023-05-29,Gaming,01:48:04,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-05-29,Gaming,00:21:48,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-05-29,Gaming,00:25:47,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-05-30,Gaming,00:07:05,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-30,Gaming,01:08:59,"#Horizon Zero Down
#RPG
#Third Person"
Work-Space,2023-05-30,Unit42-Case Work,03:33:13,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-30,Unit42-Case Work,00:16:47,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-30,Videos,00:36:29,#Plex
Work-Space,2023-05-30,Unit42-Administrative,01:18:16,"#Internal Meeting
#Performance Project"
Off-Work Space,2023-05-30,Gaming,00:20:00,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-31,Unit42-Case Work,02:08:15,"#ASTM
#Meeting
#Traffic-analysis"
Work-Space,2023-05-31,Unit42-Case Work,00:43:27,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-31,Unit42-Administrative,01:28:08,"#Internal Meeting
#Mentoring"
Work-Space,2023-05-31,Unit42-Case Work,00:35:28,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-05-31,Gaming,00:21:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-05-31,Gaming,01:09:05,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-01,Gaming,01:16:16,"#Horizon Zero Down
#RPG
#Third Person"
Work-Space,2023-06-01,Unit42-Case Work,01:59:17,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-01,Unit42-Case Work,02:15:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-01,Unit42-Administrative,01:30:00,"#Internal Meeting
#Performance Project"
Work-Space,2023-06-01,Unit42-Case Work,00:30:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-01,Videos,00:04:03,#Plex
Off-Work Space,2023-06-01,Videos,00:26:29,#YouTube
Off-Work Space,2023-06-01,Gaming,02:40:58,"#Diablo IV
#Point and Click
#RPG"
Work-Space,2023-06-02,Unit42-Case Work,02:35:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-02,Unit42-Case Work,00:45:55,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-02,Unit42-Case Work,00:59:07,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-02,Gaming,02:01:13,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-02,Gaming,02:15:05,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-03,Gaming,02:12:08,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-03,Videos,00:10:19,#YouTube
Off-Work Space,2023-06-03,Gaming,02:12:58,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-03,Gaming,00:13:53,
Off-Work Space,2023-06-03,Videos,00:31:45,#YouTube
Off-Work Space,2023-06-03,Gaming,00:13:51,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-03,Gaming,00:05:00,
Off-Work Space,2023-06-03,Gaming,01:04:59,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-03,Gaming,00:19:59,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-03,Gaming,00:29:06,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-03,Gaming,01:19:33,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-03,Gaming,00:47:17,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-04,Gaming,00:51:27,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-04,Gaming,00:25:04,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-04,Videos,00:26:29,#YouTube
Off-Work Space,2023-06-04,Gaming,02:52:39,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-04,Gaming,00:55:00,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-04,Gaming,01:00:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-05,Gaming,01:15:37,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-05,Unit42-Case Work,00:22:26,"#ASTM
#Meeting
#Traffic-analysis"
Work-Space,2023-06-05,Unit42-Administrative,00:49:58,"#1-on-1
#Internal Meeting
#Performance Project"
Work-Space,2023-06-05,Unit42-Case Work,05:40:02,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-05,Videos,00:39:06,#YouTube
Off-Work Space,2023-06-05,Gaming,00:25:24,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-05,Gaming,00:17:45,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-05,Gaming,01:18:45,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-05,Gaming,00:20:09,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-06,Chateau Events,00:28:05,#Home Warranty
Off-Work Space,2023-06-06,Gaming,00:24:11,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-06,Gaming,00:26:33,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-06-06,Unit42-Case Work,02:43:27,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-06,Unit42-Case Work,01:30:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-06,Unit42-Administrative,00:54:36,"#Internal Meeting
#Internship
#Unit42-intern-101"
Work-Space,2023-06-06,Unit42-Case Work,01:21:43,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-06,Gaming,00:24:04,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-06,Gaming,00:19:56,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-06,Gaming,01:11:55,
Off-Work Space,2023-06-06,Gaming,01:20:00,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-07,Unit42-Administrative,01:12:15,"#Document Review
#Mentoring"
Work-Space,2023-06-07,Unit42-Case Work,02:58:35,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-07,Unit42-Case Work,02:29:31,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-07,Coding,00:22:34,"#100DaysofCode
#Python"
Off-Work Space,2023-06-07,Gaming,00:19:50,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-07,Gaming,00:45:06,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-07,Homelab Engineering and Documentation,00:54:21,"#Book Review
#Movie Review
#TV Show Review"
Off-Work Space,2023-06-07,Gaming,01:20:59,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-08,Gaming,01:24:17,"#Diablo IV
#Point and Click
#RPG"
Work-Space,2023-06-08,Unit42-Case Work,04:36:05,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-08,Unit42-Case Work,02:21:37,#Presentation
Work-Space,2023-06-08,Unit42-Administrative,00:26:25,#Administration
Off-Work Space,2023-06-08,Videos,00:40:02,#YouTube
Off-Work Space,2023-06-08,Gaming,00:25:15,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-08,Gaming,01:47:55,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-08,Gaming,00:11:09,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-06-09,Unit42-Case Work,02:36:44,"#ASTM
#Meta
#Presentation
#Traffic-analysis"
Work-Space,2023-06-09,Unit42-Administrative,00:45:41,
Work-Space,2023-06-09,Unit42-Case Work,00:33:04,
Work-Space,2023-06-09,Unit42-Case Work,02:47:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-09,Gaming,00:32:13,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-10,Videos,00:44:25,#YouTube
Off-Work Space,2023-06-10,Gaming,00:30:40,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-10,Gaming,00:32:37,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-10,Gaming,01:43:33,
Off-Work Space,2023-06-10,Gaming,02:35:00,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-11,Gaming,04:02:19,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-11,Videos,00:20:56,#YouTube
Off-Work Space,2023-06-11,Gaming,00:34:17,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-11,Gaming,02:29:27,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-12,Gaming,01:33:32,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-12,Unit42-Case Work,02:15:16,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-12,Unit42-Case Work,01:10:47,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-12,Unit42-Administrative,00:15:00,"#ASTM
#Internal Meeting
#Meta"
Work-Space,2023-06-12,Unit42-Case Work,02:20:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-12,Gaming,01:12:35,
Off-Work Space,2023-06-12,Gaming,00:46:44,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-12,Gaming,01:44:00,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-12,Gaming,00:07:19,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-13,Unit42-Case Work,02:31:24,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-13,Unit42-Case Work,01:01:43,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-13,Unit42-Administrative,00:58:51,"#Career Managment
#Case Management
#Internal Meeting
#Mentoring"
Work-Space,2023-06-13,Unit42-Case Work,01:04:01,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-13,Gaming,00:14:51,
Off-Work Space,2023-06-13,Gaming,00:25:42,
Off-Work Space,2023-06-13,Videos,00:14:50,#YouTube
Off-Work Space,2023-06-13,Gaming,01:06:15,"#Diablo IV
#Point and Click
#RPG"
Off-Work Space,2023-06-13,Gaming,01:17:35,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-14,Unit42-Case Work,02:26:47,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-14,Unit42-Client Meeting,00:57:00,#Document Review
Off-Work Space,2023-06-14,Gaming,00:32:21,
Off-Work Space,2023-06-14,Gaming,02:22:26,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-15,Gaming,01:27:57,"#Diablo IV
#Open World
#Point and Click
#RPG"
Work-Space,2023-06-15,Unit42-Case Work,00:26:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-15,Unit42-Administrative,00:39:49,"#Internal Meeting
#Planning
#Podcast"
Work-Space,2023-06-15,Unit42-Case Work,02:31:02,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-15,Videos,00:56:07,#YouTube
Off-Work Space,2023-06-15,Gaming,02:35:41,"#Diablo IV
#Open World
#Point and Click
#RPG"
Off-Work Space,2023-06-15,Gaming,00:23:18,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-15,Gaming,01:38:22,"#Diablo IV
#Open World
#Point and Click
#RPG"
Off-Work Space,2023-06-15,Videos,00:24:15,#YouTube
Off-Work Space,2023-06-15,Gaming,00:54:05,
Work-Space,2023-06-16,Unit42-Case Work,02:47:34,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-16,Gaming,01:19:46,"#Call of Duty
#Diablo IV
#FPS
#Multiplayer
#Open World
#Point and Click
#RPG"
Off-Work Space,2023-06-16,Gaming,00:55:33,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-17,Homelab Engineering and Documentation,01:19:04,"#Book Review
#Movie Review
#TV Show Review"
Off-Work Space,2023-06-17,Gaming,02:24:17,"#Diablo IV
#Open World
#Point and Click
#RPG"
Off-Work Space,2023-06-17,Videos,00:13:28,#YouTube
Off-Work Space,2023-06-17,Gaming,00:25:26,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-17,Gaming,01:49:40,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-17,Gaming,01:08:39,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-17,Gaming,01:38:54,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-17,Videos,00:21:00,#YouTube
Off-Work Space,2023-06-18,Gaming,00:39:41,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-18,Gaming,00:17:39,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-18,Gaming,00:39:47,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-18,Gaming,00:28:01,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-18,Gaming,02:08:52,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-18,Gaming,00:55:23,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-18,Gaming,01:11:45,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-18,Gaming,00:53:47,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-18,Gaming,00:20:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-19,Chateau Events,00:25:32,#Communication
Off-Work Space,2023-06-19,Homelab Engineering and Documentation,00:30:21,"#Book Review
#Movie Review
#TV Show Review"
Off-Work Space,2023-06-19,Gaming,00:22:38,"#Diablo IV
#Open World
#Point and Click
#RPG"
Off-Work Space,2023-06-19,Gaming,02:21:55,
Off-Work Space,2023-06-19,Gaming,01:14:51,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-19,Gaming,01:05:54,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-19,Gaming,01:05:29,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-20,Homelab Engineering and Documentation,00:30:22,#Movie Review
Off-Work Space,2023-06-20,Gaming,00:33:57,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-20,Gaming,00:25:22,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-20,Unit42-Case Work,02:15:15,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-20,Unit42-Case Work,01:28:11,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-20,Unit42-Administrative,01:00:11,"#Internal Meeting
#Internship
#Mentoring"
Work-Space,2023-06-20,Unit42-Case Work,01:42:15,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-20,Coding,00:28:28,"#100DaysofCode
#Python"
Off-Work Space,2023-06-20,Gaming,00:01:56,
Off-Work Space,2023-06-20,Gaming,01:53:51,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-06-21,Unit42-Case Work,03:55:53,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-21,Unit42-Administrative,01:04:00,"#Performance Project
#Presentation"
Off-Work Space,2023-06-21,Chateau Events,00:25:00,#Air Force
Work-Space,2023-06-21,Unit42-Case Work,01:55:53,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-21,Videos,00:31:55,#Plex
Off-Work Space,2023-06-21,Gaming,01:54:45,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-21,Gaming,00:09:13,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-22,Gaming,01:28:20,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-22,Unit42-Case Work,02:06:15,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-22,Unit42-Case Work,04:20:46,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-22,Gaming,01:11:39,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-22,Gaming,02:57:34,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-23,Unit42-Case Work,01:09:05,
Work-Space,2023-06-23,Unit42-Case Work,02:18:59,
Work-Space,2023-06-23,Unit42-Case Work,02:48:07,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-23,Coding,00:12:45,"#100DaysofCode
#Python"
Off-Work Space,2023-06-23,Gaming,01:40:31,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-23,Gaming,01:21:05,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-24,Gaming,04:32:48,"#Horizon Zero Down
#Open World
#RPG"
Off-Work Space,2023-06-24,Gaming,00:57:46,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-24,Gaming,01:05:49,"#Horizon Zero Down
#Open World
#RPG"
Off-Work Space,2023-06-25,Gaming,02:15:40,"#Horizon Zero Down
#Open World
#RPG
#Third Person"
Off-Work Space,2023-06-25,Chateau Events,01:30:00,"#Air Force
#Documentation"
Off-Work Space,2023-06-25,Gaming,01:47:32,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-25,Gaming,01:38:28,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-06-26,Gaming,01:34:52,"#Horizon Zero Down
#Open World
#RPG
#Third Person"
Work-Space,2023-06-26,Unit42-Case Work,02:04:49,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-26,Unit42-Administrative,00:20:00,#Internal Meeting
Work-Space,2023-06-26,Unit42-Case Work,02:48:33,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-26,Videos,00:25:00,#Plex
Off-Work Space,2023-06-26,Gaming,00:27:55,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-06-26,Gaming,03:11:48,"#Horizon Zero Down
#Open World
#RPG
#Third Person"
Off-Work Space,2023-06-27,Gaming,01:27:51,"#Horizon Zero Down
#Open World
#RPG
#Third Person"
Work-Space,2023-06-27,Unit42-Case Work,04:57:18,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-06-27,Unit42-Case Work,01:37:06,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-06-27,Coding,00:26:46,"#100DaysofCode
#Python"
Off-Work Space,2023-06-27,Videos,00:26:10,#YouTube
Off-Work Space,2023-06-27,Gaming,01:01:09,
Off-Work Space,2023-06-27,Gaming,01:56:55,"#Horizon Zero Down
#Open World
#RPG
#Third Person"
Off-Work Space,2023-06-27,Gaming,00:57:44,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-06-28,Unit42-Case Work,02:18:11,"#ASTM
#Meta
#Traffic-analysis"
